,Experiment,Consumption 1 (J),Consumption 2 (J),Consumption 3 (J),Consumption 4 (J),Consumption 5 (J),Consumption 6 (J),Consumption 7 (J),Consumption 8 (J),Consumption 9 (J),Consumption 10 (J),Consumption 11 (J),Consumption 12 (J),Consumption 13 (J),Consumption 14 (J),Consumption 15 (J),Consumption 16 (J),Consumption 17 (J),Consumption 18 (J),Consumption 19 (J),Consumption 20 (J),Consumption 21 (J),Consumption 22 (J),Consumption 23 (J),Consumption 24 (J),Consumption 25 (J),Consumption 26 (J),Consumption 27 (J),Consumption 28 (J),Consumption 29 (J),Consumption 30 (J),Consumption 31 (J),Consumption 32 (J),Consumption 33 (J),Consumption 34 (J),Consumption 35 (J),Consumption 36 (J),Consumption 37 (J),Consumption 38 (J),Consumption 39 (J),Consumption 40 (J),Consumption 41 (J),Consumption 42 (J),Consumption 43 (J),Consumption 44 (J),Consumption 45 (J),Consumption 46 (J),Consumption 47 (J),Consumption 48 (J),Consumption 49 (J),Consumption 50 (J),Mean Consumption (J),Variance Consumption (J)
10,qdd-gfortran-linux-MKL-noOMP-noStatic-Debug,5465.34,5777.16,5671.99,4932.46,5041.99,5424.97,5266.85,5931.23,5335.86,5674.56,2726.81,2717.94,2716.65,2717.03,2716.2,2715.66,2714.8,2715.34,2714.63,2714.08,2712.81,2714.25,2714.15,2712.3,2713.97,2713.87,2713.57,2714.69,2714.41,2714.58,2713.52,2714.95,2714.79,2716.07,2744.22,2717.98,2720.15,2719.43,2719.59,2719.33,2718.67,2717.48,2734.04,2716.87,2715.59,2715.71,2729.24,2715.39,2714.21,2713.56,3264.4188,1239868.9497413877
11,qdd-gfortran-linux-MKL-noOMP-noStatic-noDebug,5065.43,4869.15,4410.72,4617.98,4860.38,4864.46,4788.03,4409.93,4541.17,4401.38,2718.91,2714.3,2714.16,2713.81,2714.85,2716.65,2715.66,2714.61,2713.54,2714.11,2714.62,2714.52,2716.37,2717.53,2718.4,2719.69,2726.0,2720.95,2719.87,2720.02,2719.52,2718.87,2718.0,2717.2,2716.64,2716.3,2716.51,2716.51,2715.32,2716.86,2716.61,2717.01,2717.3,2713.71,2713.3,2714.78,2716.43,2717.8,2718.9,2719.11,3110.0775999999983,641420.5744022856
12,qdd-ifort-linux-FFTW-OMP-DYN-noStatic-Debug,5096.42,5031.61,5083.79,4768.35,5022.31,5078.27,5586.1,5365.49,5117.63,5122.92,3272.57,3572.59,3193.81,3853.62,3048.04,3830.97,3222.09,3353.51,3563.57,2774.96,3859.01,3214.39,3567.13,3254.48,3475.01,2758.76,3262.49,3518.23,2759.25,3372.78,3131.7,3579.71,3575.84,3690.31,2777.29,3480.12,3520.36,3476.18,3083.6,4336.84,2783.05,3374.73,3041.41,3684.87,3438.09,3519.3,3350.79,3354.17,3316.8,3309.06,3716.4873999999995,606066.016905347
13,qdd-ifort-linux-FFTW-OMP-DYN-noStatic-noDebug,5432.35,5980.6,6142.95,6115.66,5916.99,6298.14,5358.68,5495.35,5767.69,6046.44,4144.51,3541.83,6053.78,3618.49,5037.56,3324.03,6109.67,3594.63,4939.66,3989.45,3879.32,3797.59,3740.64,4373.18,3856.9,4325.25,4113.75,3661.19,4084.76,4165.31,4102.22,3952.38,4329.65,4345.69,3763.29,4397.22,4218.75,5165.97,3668.96,3783.01,4130.31,3594.38,4066.77,4438.56,3920.48,4169.65,5016.58,3714.83,3860.61,4366.52,4518.243599999999,772285.8983214693
14,qdd-ifort-linux-FFTW-OMP-noStatic-Debug,6244.8,6358.73,6382.64,6487.82,6265.79,6311.76,6147.98,6264.73,6259.36,6310.18,5272.21,3786.06,4556.95,3755.05,4508.42,3684.63,3755.78,4697.4,3838.67,4237.46,4659.1,4777.59,3757.17,3739.18,3864.94,4152.27,5688.91,3731.59,4953.83,3728.02,4483.26,3733.18,4184.37,4098.78,3634.81,4482.44,3799.82,4532.92,4029.96,4226.03,4121.5,3892.11,3863.73,3622.03,4896.91,4489.66,4137.7,4335.54,3870.66,4104.85,4614.3856,915847.122233306
15,qdd-ifort-linux-FFTW-OMP-noStatic-noDebug,6366.2,6253.72,6288.2,6630.24,6339.25,7107.11,6131.05,6825.16,6650.8,6469.57,4078.89,4241.61,4070.51,4844.19,3458.17,5050.77,4140.35,3401.04,5040.84,3940.24,3531.73,5065.4,6551.62,3599.65,4159.96,4182.62,4182.58,3916.88,4211.29,4118.79,4380.98,5377.52,3924.35,4358.29,4829.02,4821.66,3661.12,4566.54,4711.54,3706.27,4529.34,3723.86,4309.17,4032.19,4633.99,3701.17,4148.61,3865.98,4804.85,3911.92,4736.936000000001,1112024.4748489796
16,qdd-ifort-linux-FFTW-noOMP-noStatic-Debug,5737.4,5713.75,5633.33,5858.67,5691.92,5810.3,5697.85,5786.64,5848.65,5710.95,3486.5,2745.42,2718.83,2717.3,2716.3,2715.09,2714.77,2715.69,2715.97,2716.15,2715.85,2715.24,2715.16,2714.83,2715.37,2715.82,2717.21,2716.82,2717.79,2719.29,2719.18,2719.72,2720.29,2720.07,2719.77,2717.44,2718.26,2717.64,2717.45,2717.29,2717.41,2716.14,2716.64,2715.69,2715.85,2716.3,2715.94,2716.65,2716.39,2716.75,3339.314600000002,1493988.340535551
17,qdd-ifort-linux-FFTW-noOMP-noStatic-noDebug,5644.89,4968.39,4933.11,4114.12,3735.67,4364.83,4405.87,4412.47,4370.93,4372.87,2716.72,2716.25,2716.05,2715.98,2715.65,2715.38,2714.08,2713.63,2713.7,2714.94,2714.22,2714.55,2714.79,2715.23,2715.05,2717.51,2716.51,2717.33,2718.43,2718.34,2719.56,2720.66,2720.28,2719.32,2719.36,2717.95,2717.48,2716.65,2716.69,2717.0,2715.97,2715.03,2715.49,2716.16,2715.96,2715.13,2715.89,2715.72,2715.75,2714.65,3079.5638,589575.9031587347
18,qdd-ifort-linux-MKL-OMP-DYN-noStatic-Debug,5616.66,5480.84,5624.64,5057.53,5459.05,5014.86,5237.08,5380.48,5165.26,5126.06,3586.54,3543.67,3529.37,3426.55,3616.48,3511.22,3451.22,3522.77,3415.26,3730.64,3686.27,4282.06,3379.76,4147.15,3770.68,3867.16,3532.24,4558.33,3588.68,3481.27,3469.17,3467.94,3633.98,3994.88,3405.5,3835.7,3279.9,3520.63,4356.39,3439.84,3378.68,3470.75,3571.81,3554.65,3208.27,3500.73,3478.29,3760.38,3643.16,3615.51,3967.5188000000007,539013.1012883267
19,qdd-ifort-linux-MKL-OMP-DYN-noStatic-noDebug,5791.09,4997.99,6032.56,6142.8,5987.04,6247.72,6482.01,5619.33,6149.27,6443.0,4613.74,4032.92,3913.16,4295.79,4442.25,3907.72,3984.55,4684.48,3997.17,4495.49,3815.21,4197.06,4106.67,3887.2,4474.35,3959.78,3974.96,4520.25,3392.8,4341.8,3740.77,4637.8,4113.64,3967.46,4365.64,4390.08,4067.09,4215.73,4279.58,3588.42,5007.94,4010.73,3386.33,4459.56,3674.38,4599.83,4176.77,4775.59,3899.12,4175.95,4529.251399999999,685306.2093020817
20,qdd-ifort-linux-MKL-OMP-noStatic-Debug,6543.14,6545.48,6494.53,5724.01,6420.16,6453.92,6434.42,6507.14,6434.65,6411.1,4498.08,4242.65,3763.65,4276.47,4683.29,3386.01,4982.69,3780.64,4437.81,3863.25,4419.19,3564.47,3806.73,4225.16,3776.29,4226.21,3841.02,4472.4,4060.9,3708.75,4435.46,4224.67,4153.68,4080.45,3938.28,4544.58,3798.18,4069.11,4670.85,4353.49,3845.26,4377.86,3828.75,4156.17,4930.91,3729.18,4216.6,3970.01,3678.9,3962.8,4578.9879999999985,961535.4942489796
21,qdd-ifort-linux-MKL-OMP-noStatic-noDebug,6389.59,6401.94,6373.22,6347.41,6412.5,6308.26,6288.86,6465.73,6479.77,6401.9,3424.95,4558.14,3720.92,4108.13,4113.21,3949.72,3691.91,3629.31,4990.2,3433.11,4684.19,3942.98,4365.12,4217.72,4620.49,4158.17,3860.76,4484.21,3640.28,4107.37,4018.01,4348.96,4535.09,3635.46,3837.98,4328.52,4318.54,4299.51,3830.63,4515.52,4040.82,4183.48,4443.43,3467.13,3909.42,4402.56,3600.53,4575.28,3711.51,4658.84,4564.625800000001,972662.2361268979
22,qdd-ifort-linux-MKL-noOMP-noStatic-Debug,6004.75,5815.85,5759.95,5664.36,5592.86,5714.75,5607.11,5561.52,5735.85,5631.28,2721.43,2718.06,2717.41,2716.82,2716.67,2718.0,2717.78,2717.72,2719.23,2718.86,2717.73,2716.9,2716.13,2715.1,2723.05,2726.98,2714.43,2726.55,2713.16,2712.58,2712.74,2713.31,2731.74,2713.88,2714.03,2713.99,2713.9,2714.45,2714.82,2714.72,2715.09,2714.13,2713.41,2715.28,2715.3,2716.48,2717.17,2718.49,2718.77,2719.05,3315.4724000000006,1464457.617757388
23,qdd-ifort-linux-MKL-noOMP-noStatic-noDebug,5003.65,4674.84,4635.7,4273.46,4684.18,4626.34,4702.92,4685.66,4482.91,4400.32,2736.03,2719.0,2718.28,2717.4,2717.18,2717.1,2716.86,2715.81,2716.26,2716.13,2714.98,2714.33,2715.05,2714.11,2714.63,2714.29,2715.01,2715.37,2718.67,2717.72,2718.2,2717.85,2719.39,2719.13,2736.8,2718.2,2717.07,2716.71,2716.95,2716.06,2715.39,2715.42,2714.62,2714.51,2714.8,2714.56,2714.79,2715.64,2715.46,2715.97,3097.2342000000003,596422.9326166937
24,qdd-ifx-linux-FFTW-OMP-DYN-noStatic-Debug,4571.67,5084.9,5295.51,5154.06,4893.6,4859.11,4951.47,4581.8,4459.98,4991.47,3038.7,3293.86,3061.89,4222.78,2819.7,3875.82,3335.74,2787.46,3357.09,3407.4,3270.49,3797.64,3293.57,3077.56,4018.88,3137.94,3542.44,3619.23,3248.96,3052.45,3162.68,3523.42,3020.57,3385.66,3431.36,3442.47,3185.46,3081.71,3713.04,3442.47,3205.67,3341.09,3154.89,3644.35,3537.62,3135.9,3174.03,3905.12,3566.02,3405.67,3671.2474000000007,467407.60064820416
25,qdd-ifx-linux-FFTW-OMP-DYN-noStatic-noDebug,5845.91,6176.45,5490.49,5803.22,6076.61,6012.46,5524.0,5777.99,5794.03,5807.37,3863.82,4157.23,3929.98,4094.92,4174.88,3631.22,4184.24,4158.06,3919.81,4363.66,4409.76,4335.1,4357.27,4102.06,4172.66,4216.54,4174.55,3700.14,3867.96,4259.27,3784.45,3541.32,4444.89,3290.3,4313.42,4445.18,3872.96,3808.89,3905.94,4638.16,3787.71,4091.83,4486.2,3931.49,4256.1,3703.53,5004.53,4415.23,3857.35,3782.45,4434.871800000001,592556.952982408
26,qdd-ifx-linux-FFTW-OMP-noStatic-Debug,6071.11,6125.83,6249.01,6265.39,6254.86,6268.48,6156.71,6413.1,6405.18,6252.2,3647.64,4457.9,5583.49,4639.45,4003.57,4059.34,4549.05,3869.75,5046.84,3984.72,4796.38,3828.32,4470.34,3755.96,4652.92,3752.06,4269.83,4046.79,4266.61,3690.06,4119.2,4149.95,3931.87,4220.06,4342.31,4127.16,3737.15,4660.14,4695.08,4090.74,5148.23,4448.59,3668.71,4359.57,4282.01,4316.22,4152.41,4185.4,4160.1,4521.16,4662.979,784465.6666336735
27,qdd-ifx-linux-FFTW-OMP-noStatic-noDebug,6275.84,6604.52,6460.34,6363.24,6667.26,6186.78,6164.34,6188.0,6364.31,6263.35,4058.07,4078.3,4394.89,3881.01,4874.11,3649.55,4232.22,4865.32,3690.11,4602.62,4012.42,4095.79,4521.31,3991.3,4241.04,6243.13,3646.13,4275.45,3691.74,4654.95,4321.62,4042.61,4623.06,3952.51,4339.4,4201.68,4123.72,4812.67,3812.12,4144.59,4715.44,4154.14,4134.3,4465.94,4929.64,3453.57,4726.23,4228.93,4444.85,3634.1,4689.971200000001,908813.9495005716
28,qdd-ifx-linux-FFTW-noOMP-noStatic-Debug,6158.33,5638.57,5736.71,6164.1,5692.05,5708.32,5785.92,5828.83,5718.6,5711.06,2733.03,2722.76,2722.01,2723.82,2724.85,2720.47,2720.99,2715.94,2715.62,2715.18,2715.02,2715.23,2716.14,2716.95,2716.88,2717.11,2716.23,2716.91,2717.62,2718.2,2719.03,2720.01,2719.51,2720.26,2719.9,2721.53,2720.23,2715.45,2714.54,2714.71,2715.1,2715.81,2718.47,2718.98,2715.64,2718.48,2714.37,2715.27,2716.48,2716.98,3337.484000000001,1571524.4620367347
29,qdd-ifx-linux-FFTW-noOMP-noStatic-noDebug,5664.43,5317.47,5252.87,5258.67,5095.95,4748.61,4642.88,4466.77,4451.37,4729.02,2717.64,2718.1,2718.57,2718.39,2719.28,2717.36,2716.12,2716.28,2714.07,2713.95,2714.27,2714.58,2714.79,2714.45,2713.39,2714.54,2716.13,2717.25,2718.08,2718.41,2719.76,2720.01,2719.78,2718.72,2717.29,2714.8,2713.79,2713.2,2712.78,2712.82,2714.12,2714.99,2714.85,2713.78,2714.9,2715.72,2717.56,2717.14,2718.3,2719.57,3165.5513999999994,854992.2539265716
30,qdd-ifx-linux-MKL-OMP-DYN-noStatic-Debug,4966.81,5086.08,5714.82,5202.77,5283.39,4957.08,4928.95,5170.69,5186.37,4942.88,3254.74,3828.16,3010.51,3605.39,3217.71,3819.92,2790.71,3960.21,3112.0,3798.06,3450.16,3444.65,3781.36,3140.34,4154.04,2873.71,3746.03,3127.91,3655.04,3926.82,3106.89,3450.72,3799.27,4302.42,3285.14,3729.25,2841.91,3381.86,3520.89,3440.39,3481.04,3302.07,3517.91,3289.16,3669.11,3574.95,3252.19,3580.32,3497.18,3594.1,3815.0816000000013,555105.1482137144
31,qdd-ifx-linux-MKL-OMP-DYN-noStatic-noDebug,5623.42,6054.26,5639.63,5935.52,5872.13,5997.33,5692.95,5651.1,5645.77,5489.98,3943.41,4548.54,3433.54,4840.38,3623.84,4593.49,3988.9,4526.02,4480.66,4335.16,3782.21,4463.78,3930.39,3931.03,4329.84,4031.87,4153.67,3859.55,4565.62,4159.01,4267.36,4023.18,4234.79,4455.75,3887.76,4482.03,4173.9,3810.6,4194.33,3739.69,4061.76,4223.62,3849.07,4112.81,4537.43,4006.99,4494.91,4391.31,3871.29,3714.43,4473.120199999999,509273.72532036743
32,qdd-ifx-linux-MKL-OMP-noStatic-Debug,5873.25,6342.34,6530.0,6116.16,6551.75,5524.86,6469.59,6480.78,6388.04,5649.87,4182.94,4001.6,4372.24,3689.23,4961.01,3775.63,4614.96,3457.12,4973.19,3733.56,4588.66,3881.83,4830.01,4031.95,6276.65,4468.89,3798.41,4909.44,3886.24,4220.72,3393.12,4361.91,3796.07,4655.54,3703.82,4455.53,3911.13,4439.1,4302.28,4282.73,3708.97,4212.11,3708.23,4197.14,3393.87,4410.38,4432.51,3698.62,4901.22,3452.13,4599.946600000001,929108.0763575918
33,qdd-ifx-linux-MKL-OMP-noStatic-noDebug,6279.95,6196.52,5933.31,5551.13,6149.49,6137.66,5928.61,6196.52,6196.52,6196.52,4568.72,4549.7,3748.62,4417.56,4106.1,3794.97,4743.29,3735.15,4202.92,4172.51,3716.3,4187.5,4062.55,3971.66,4014.28,4321.6,3896.98,4606.21,3610.32,3838.42,3999.06,4427.37,3972.83,4416.41,3752.77,4160.88,4228.57,3986.18,4727.88,3673.5,4329.62,3707.01,4741.34,3503.51,4519.88,3432.65,5079.64,3432.15,4937.54,3861.44,4518.4364000000005,767407.783137796
34,qdd-ifx-linux-MKL-noOMP-noStatic-Debug,6274.91,6070.31,5892.36,5782.22,5875.54,5707.81,6144.21,5772.71,5491.03,5607.33,3532.67,2774.99,2730.44,2717.28,2732.28,2717.83,2744.14,2719.0,2729.17,2721.6,2739.87,2717.79,2737.4,2715.94,2738.36,2716.56,2715.2,2713.56,2713.99,2739.05,2715.77,2714.38,2714.21,2715.45,2716.62,2717.39,2718.19,2737.26,2718.87,2726.75,2718.22,2730.35,2715.42,3506.3,2766.94,2714.37,2713.62,2712.42,2713.41,2714.95,3383.728800000001,1602191.8825291428
35,qdd-ifx-linux-MKL-noOMP-noStatic-noDebug,5448.33,4569.44,4440.72,4427.44,4495.45,4433.58,4476.14,4443.38,4431.4,4326.1,2714.32,2716.48,2718.14,2717.78,2718.91,2719.14,2720.22,2719.26,2719.42,2718.72,2718.35,2717.59,2716.57,2713.93,2714.29,2714.65,2714.9,2716.39,2716.85,2716.94,2715.45,2716.87,2717.59,2718.57,2717.92,2718.85,2719.71,2720.79,2720.61,2719.64,2717.4,2715.38,2716.18,2716.54,2715.15,2714.06,2714.18,2715.06,2715.37,2715.03,3083.503599999999,567046.6971582042
